lon_e,lat_n,conc_items_m3,conc_mg_m3,conc_armonizada_items_m3,fecha_muestreo,rio,malla,metodo,referencia,malla_um,anio,region_aprox
16.7,48.12,0.94,10.9,17.13,2010,Austrian Danube,500µm,Net,"Lechner A, Keckeis H, Lumesberger-Loisl F, et al. The Danube so colourful: a potpourri of plastic litter outnumbers fish larvae in Europe's second largest river[J]. Environmental pollution, 2014, 188: 177-181.",500.0,2010.0,Europa
16.7,48.12,0.06,2.2,1.01,2012,Austrian Danube,500µm,Net,"Lechner A, Keckeis H, Lumesberger-Loisl F, et al. The Danube so colourful: a potpourri of plastic litter outnumbers fish larvae in Europe's second largest river[J]. Environmental pollution, 2014, 188: 177-181.",500.0,2012.0,Europa
2.43,48.82,30.0,,321.51,2014,Marne River,100µm,Net,"Dris R, Gasperi J, Rocher V, et al. Microplastic contamination in an urban area: a case study in Greater Paris[J]. Environmental Chemistry, 2015, 12(5): 592-599.",100.0,2014.0,Europa
2.41,48.76,0.35,,3.75,2014,Seine River,100µm,Net,"Dris R, Gasperi J, Rocher V, et al. Microplastic contamination in an urban area: a case study in Greater Paris[J]. Environmental Chemistry, 2015, 12(5): 592-599.",100.0,2014.0,Europa
2.23,48.86,293000.0,,3140061.95,2014,Seine River,100µm,Net,"Dris R, Gasperi J, Rocher V, et al. Microplastic contamination in an urban area: a case study in Greater Paris[J]. Environmental Chemistry, 2015, 12(5): 592-599.",100.0,2014.0,Europa
2.16,48.94,90000.0,,964524.15,2014,Seine River,100µm,Net,"Dris R, Gasperi J, Rocher V, et al. Microplastic contamination in an urban area: a case study in Greater Paris[J]. Environmental Chemistry, 2015, 12(5): 592-599.",100.0,2014.0,Europa
2.04,48.93,35000.0,,375092.72,2014,Seine River,100µm,Net,"Dris R, Gasperi J, Rocher V, et al. Microplastic contamination in an urban area: a case study in Greater Paris[J]. Environmental Chemistry, 2015, 12(5): 592-599.",100.0,2014.0,Europa
121.42,31.55,45.4,,46.33,2017May,Yangtze River,60µm,Pump,"Zhao S, Wang T, Zhu L, et al. Analysis of suspended microplastics in the Changjiang Estuary: Implications for riverine plastic load to the ocean[J]. Water Research, 2019, 161: 560-569.",60.0,2017.0,Asia
121.42,31.55,122.8,,125.3,2017July,Yangtze River,60µm,Pump,"Zhao S, Wang T, Zhu L, et al. Analysis of suspended microplastics in the Changjiang Estuary: Implications for riverine plastic load to the ocean[J]. Water Research, 2019, 161: 560-569.",60.0,2017.0,Asia
121.42,31.55,83.0,,84.69,2017Feb,Yangtze River,60µm,Pump,"Zhao S, Wang T, Zhu L, et al. Analysis of suspended microplastics in the Changjiang Estuary: Implications for riverine plastic load to the ocean[J]. Water Research, 2019, 161: 560-569.",60.0,2017.0,Asia
4.74,43.92,12.0,0.1,172.47,2015 2016,Rhône River,300µm,Net,"Constant M, Ludwig W, Kerhervé P, et al. Microplastic fluxes in a large and a small Mediterranean river catchments: The Têt and the Rhône, Northwestern Mediterranean Sea[J]. Science of the Total Environment, 2020, 716: 136984.",300.0,2015.0,Europa
3.01,42.71,42.0,0.8,603.65,2015 2016,Têt River,300µm,Net,"Constant M, Ludwig W, Kerhervé P, et al. Microplastic fluxes in a large and a small Mediterranean river catchments: The Têt and the Rhône, Northwestern Mediterranean Sea[J]. Science of the Total Environment, 2020, 716: 136984.",300.0,2015.0,Europa
75.45,13.14,56.0,4.8,83.84,2019July,Netravathi River ,300µm,Pump,"Amrutha K, Warrier A K. The first report on the source-to-sink characterization of microplastic pollution from a riverine environment in tropical India[J]. Science of the Total Environment, 2020, 739: 140377.",300.0,2019.0,Asia
75.36,12.96,64.0,6.4,95.82,2019July,Netravathi River ,300µm,Pump,"Amrutha K, Warrier A K. The first report on the source-to-sink characterization of microplastic pollution from a riverine environment in tropical India[J]. Science of the Total Environment, 2020, 739: 140377.",300.0,2019.0,Asia
75.38,13.03,208.0,8.8,311.4,2019July,Netravathi River ,300µm,Pump,"Amrutha K, Warrier A K. The first report on the source-to-sink characterization of microplastic pollution from a riverine environment in tropical India[J]. Science of the Total Environment, 2020, 739: 140377.",300.0,2019.0,Asia
75.4,12.92,96.0,3.2,143.73,2019July,Netravathi River ,300µm,Pump,"Amrutha K, Warrier A K. The first report on the source-to-sink characterization of microplastic pollution from a riverine environment in tropical India[J]. Science of the Total Environment, 2020, 739: 140377.",300.0,2019.0,Asia
75.42,12.87,184.0,32.0,275.47,2019July,Netravathi River ,300µm,Pump,"Amrutha K, Warrier A K. The first report on the source-to-sink characterization of microplastic pollution from a riverine environment in tropical India[J]. Science of the Total Environment, 2020, 739: 140377.",300.0,2019.0,Asia
75.57,12.83,72.0,100.8,107.79,2019July,Netravathi River ,300µm,Pump,"Amrutha K, Warrier A K. The first report on the source-to-sink characterization of microplastic pollution from a riverine environment in tropical India[J]. Science of the Total Environment, 2020, 739: 140377.",300.0,2019.0,Asia
75.61,12.68,72.0,1.6,107.79,2019July,Netravathi River ,300µm,Pump,"Amrutha K, Warrier A K. The first report on the source-to-sink characterization of microplastic pollution from a riverine environment in tropical India[J]. Science of the Total Environment, 2020, 739: 140377.",300.0,2019.0,Asia
75.46,12.72,88.0,2.4,131.75,2019July,Netravathi River ,300µm,Pump,"Amrutha K, Warrier A K. The first report on the source-to-sink characterization of microplastic pollution from a riverine environment in tropical India[J]. Science of the Total Environment, 2020, 739: 140377.",300.0,2019.0,Asia
75.44,12.76,80.0,7.2,119.77,2019July,Netravathi River ,300µm,Pump,"Amrutha K, Warrier A K. The first report on the source-to-sink characterization of microplastic pollution from a riverine environment in tropical India[J]. Science of the Total Environment, 2020, 739: 140377.",300.0,2019.0,Asia
75.29,12.99,120.0,8.0,179.66,2019July,Netravathi River ,300µm,Pump,"Amrutha K, Warrier A K. The first report on the source-to-sink characterization of microplastic pollution from a riverine environment in tropical India[J]. Science of the Total Environment, 2020, 739: 140377.",300.0,2019.0,Asia
75.24,12.84,160.0,2960.8,239.54,2019July,Netravathi River ,300µm,Pump,"Amrutha K, Warrier A K. The first report on the source-to-sink characterization of microplastic pollution from a riverine environment in tropical India[J]. Science of the Total Environment, 2020, 739: 140377.",300.0,2019.0,Asia
75.04,12.87,272.0,232.8,407.22,2019July,Netravathi River ,300µm,Pump,"Amrutha K, Warrier A K. The first report on the source-to-sink characterization of microplastic pollution from a riverine environment in tropical India[J]. Science of the Total Environment, 2020, 739: 140377.",300.0,2019.0,Asia
74.92,12.86,232.0,260.0,347.34,2019July,Netravathi River ,300µm,Pump,"Amrutha K, Warrier A K. The first report on the source-to-sink characterization of microplastic pollution from a riverine environment in tropical India[J]. Science of the Total Environment, 2020, 739: 140377.",300.0,2019.0,Asia
74.86,12.84,2328.0,646.4,3485.33,2019July,Netravathi River ,300µm,Pump,"Amrutha K, Warrier A K. The first report on the source-to-sink characterization of microplastic pollution from a riverine environment in tropical India[J]. Science of the Total Environment, 2020, 739: 140377.",300.0,2019.0,Asia
141.92,45.09,1.21,0.18,18.16,2017October 4,Shimoebekorobetsu River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2017.0,Asia
141.71,45.39,0.0,0.0,0.0,2017October 4,Koetoi River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2017.0,Asia
141.15,39.69,0.07,0.0,1.08,2017November 28,Kitakami River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2017.0,Asia
139.91,38.88,0.36,0.08,5.4,2015August 31,Mogami River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2015.0,Asia
140.02,38.79,0.55,0.04,8.24,2015September 1,Mogami River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2015.0,Asia
140.43,36.55,0.03,0.0,0.44,2016July 7,Kuji River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2016.0,Asia
140.17,36.69,0.5,0.03,7.46,2016July 7,Naka River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2016.0,Asia
139.75,36.13,0.17,0.03,2.56,2017December 21,Tone River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2017.0,Asia
139.76,36.13,1.33,0.04,20.04,2017December 21,Tone River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2017.0,Asia
140.29,35.87,0.37,0.07,5.48,2016July 7,Tone River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2016.0,Asia
139.89,35.78,13.46,1.14,202.07,2017May-November,Ohori River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2017.0,Asia
139.98,35.88,3.87,3.24,58.12,2016December-2017May,Ohori River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2016.0,Asia
139.79,36.1,2.77,0.48,41.52,2015August-2017November,Edo River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2015.0,Asia
139.84,35.91,2.67,1.53,40.1,2016July27,Naka River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2016.0,Asia
139.84,35.88,2.18,1.78,32.7,2015August4 2015December4,Naka River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2015.0,Asia
139.54,35.91,0.0,0.0,0.0,2017December21,Ara River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2017.0,Asia
139.55,35.94,2.26,2.57,33.92,2018May26,Ara River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2018.0,Asia
139.67,35.59,0.23,0.03,3.51,2015December8 2017December12,Tama River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2015.0,Asia
139.62,35.52,4.85,0.63,72.78,2015December8,Tsurumi River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2015.0,Asia
139.38,35.46,0.27,0.04,3.99,2016July27,Sagami River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2016.0,Asia
140.16,35.25,0.71,0.0,10.68,2015November18,Yoro River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2015.0,Asia
139.97,35.39,3.29,0.15,49.43,2015November18,Obitsu River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2015.0,Asia
139.89,35.33,0.79,0.05,11.84,2015November18,Koito River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2015.0,Asia
133.94,34.66,0.9,0.04,13.51,2015September17,Asahi River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2015.0,Asia
133.71,33.6,1.48,0.18,22.21,2017September28,Mononobe River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2017.0,Asia
134.03,33.76,0.0,0.0,0.0,2017September28,Mononobe River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2017.0,Asia
133.34,33.71,0.0,0.0,0.0,2017December20,Niyodo River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2017.0,Asia
130.73,33.75,0.87,0.07,12.99,2017June29,Onga River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2017.0,Asia
130.42,33.17,0.43,0.61,6.41,2017June29,Hikosan River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2017.0,Asia
130.95,33.0,1.25,0.74,18.78,2016September12,Kikuchi River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2016.0,Asia
130.99,32.9,0.21,0.01,3.15,2015November19,Kuro River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2015.0,Asia
130.71,32.8,4.94,0.01,74.18,2016September12,Shira River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2016.0,Asia
144.13,43.88,2.06,0.34,30.96,2016September12,Midori River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2016.0,Asia
130.76,32.21,0.0,0.0,0.0,2016September12,Kuma River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2016.0,Asia
130.49,31.99,0.94,0.58,14.04,2016September12,Sendai River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2016.0,Asia
124.2,24.39,0.32,0.0,4.85,2015October22,Miyara River,335µm,Net,"Kataoka T, Nihei Y, Kudou K, et al. Assessment of the sources and inflow processes of microplastics in the river environments of Japan[J]. Environmental pollution, 2019, 244: 958-965.",335.0,2015.0,Asia
101.35,3.0,2470.0,,2470.0,2019September,Klang River ,50µm,Pump,"Zaki M R M, Ying P X, Zainuddin A H, et al. Occurrence, abundance, and distribution of microplastics pollution: an evidence in surface tropical water of Klang River estuary, Malaysia[J]. Environmental Geochemistry and Health, 2021: 1-16.",50.0,2019.0,Asia
117.35,23.95,725.0,,1133.81,2019May14,Zhangjiang River,335µm,Pump,"Pan Z, Sun Y, Liu Q, et al. Riverine microplastic pollution matters: a case study in the Zhangjiang River of Southeastern China[J]. Marine Pollution Bulletin, 2020, 159: 111516.",335.0,2019.0,Asia
117.36,23.95,50.0,,78.19,2019May14,Zhangjiang River,335µm,Pump,"Pan Z, Sun Y, Liu Q, et al. Riverine microplastic pollution matters: a case study in the Zhangjiang River of Southeastern China[J]. Marine Pollution Bulletin, 2020, 159: 111516.",335.0,2019.0,Asia
117.36,23.95,225.0,,351.87,2019May14,Zhangjiang River,335µm,Pump,"Pan Z, Sun Y, Liu Q, et al. Riverine microplastic pollution matters: a case study in the Zhangjiang River of Southeastern China[J]. Marine Pollution Bulletin, 2020, 159: 111516.",335.0,2019.0,Asia
117.38,23.93,75.0,,117.29,2019May14,Zhangjiang River,335µm,Pump,"Pan Z, Sun Y, Liu Q, et al. Riverine microplastic pollution matters: a case study in the Zhangjiang River of Southeastern China[J]. Marine Pollution Bulletin, 2020, 159: 111516.",335.0,2019.0,Asia
117.39,23.94,275.0,,430.07,2019May14,Zhangjiang River,335µm,Pump,"Pan Z, Sun Y, Liu Q, et al. Riverine microplastic pollution matters: a case study in the Zhangjiang River of Southeastern China[J]. Marine Pollution Bulletin, 2020, 159: 111516.",335.0,2019.0,Asia
117.39,23.92,275.0,,430.07,2019May14,Zhangjiang River,335µm,Pump,"Pan Z, Sun Y, Liu Q, et al. Riverine microplastic pollution matters: a case study in the Zhangjiang River of Southeastern China[J]. Marine Pollution Bulletin, 2020, 159: 111516.",335.0,2019.0,Asia
117.39,23.94,100.0,,156.39,2019May14,Zhangjiang River,335µm,Pump,"Pan Z, Sun Y, Liu Q, et al. Riverine microplastic pollution matters: a case study in the Zhangjiang River of Southeastern China[J]. Marine Pollution Bulletin, 2020, 159: 111516.",335.0,2019.0,Asia
117.17,39.16,2.47,,36.99,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.17,39.16,3.69,,55.26,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.18,39.16,6.71,,100.49,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.18,39.16,21.41,,320.64,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.19,39.16,28.63,,428.77,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.21,39.13,1.58,,23.66,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.22,39.12,8.71,,130.44,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.23,39.11,27.79,,416.19,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.24,39.1,23.07,,345.5,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.26,39.08,42.76,,640.38,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.34,39.06,12.03,,180.16,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.42,39.02,2.68,,40.14,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.46,39.02,7.84,,117.41,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.46,39.02,27.66,,414.24,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.47,39.02,0.69,,10.33,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.51,39.0,3.6,,53.91,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.52,39.0,2.41,,36.09,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.6,39.01,15.06,,225.54,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.63,39.03,13.87,,207.72,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.62,39.02,4.82,,72.19,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.65,39.01,13.44,,201.28,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.67,39.01,3.7,,55.41,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.68,38.99,7.08,,106.03,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.69,38.99,10.33,,154.7,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.69,39.0,13.59,,203.53,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.71,39.0,30.03,,449.73,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.69,38.99,32.98,,493.91,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.72,38.98,16.57,,248.15,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.71,38.99,24.91,,373.06,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
117.71,38.99,8.41,,125.95,2018June July,Haihe River,333µm,Net,"Liu Y, Zhang J D, Cai C Y, et al. Occurrence and characteristics of microplastics in the Haihe River: An investigation of a seagoing river flowing through a megacity in northern China[J]. Environmental Pollution, 2020, 262: 114261.",333.0,2018.0,Asia
107.75,-7.07,4330.0,,4330.0,2017October November,Ciwalengke River,50µm-2000µm,Pump,"Alam F C, Sembiring E, Muntalif B S, et al. Microplastic distribution in surface water and sediment river around slum and industrial area (case study: Ciwalengke River, Majalaya district, Indonesia)[J]. Chemosphere, 2019, 224: 637-645.",50.0,2017.0,Oceanía
107.75,-7.06,6000.0,,6000.0,2017October November,Ciwalengke River,50µm-2000µm,Pump,"Alam F C, Sembiring E, Muntalif B S, et al. Microplastic distribution in surface water and sediment river around slum and industrial area (case study: Ciwalengke River, Majalaya district, Indonesia)[J]. Chemosphere, 2019, 224: 637-645.",50.0,2017.0,Oceanía
107.75,-7.06,5670.0,,5670.0,2017October November,Ciwalengke River,50µm-2000µm,Pump,"Alam F C, Sembiring E, Muntalif B S, et al. Microplastic distribution in surface water and sediment river around slum and industrial area (case study: Ciwalengke River, Majalaya district, Indonesia)[J]. Chemosphere, 2019, 224: 637-645.",50.0,2017.0,Oceanía
