distance to center [km], normalized intensity
1.603844265509223135e+02,0.000000000000000000e+00
1.611705480312776047e+02,0.000000000000000000e+00
1.619592909368914775e+02,0.000000000000000000e+00
1.627506417499837710e+02,0.000000000000000000e+00
1.635445379372420120e+02,0.000000000000000000e+00
1.643409673665505011e+02,0.000000000000000000e+00
1.651398811176600816e+02,0.000000000000000000e+00
1.659412307039107191e+02,0.000000000000000000e+00
1.667450059963612716e+02,0.000000000000000000e+00
1.675511470199361668e+02,0.000000000000000000e+00
1.683596449316493135e+02,0.000000000000000000e+00
1.691704407261412371e+02,0.000000000000000000e+00
1.699835268074773182e+02,0.000000000000000000e+00
1.707988579325210594e+02,0.000000000000000000e+00
1.716163892462446370e+02,0.000000000000000000e+00
1.724361149518291256e+02,0.000000000000000000e+00
1.732579783373382156e+02,0.000000000000000000e+00
1.740819747587905795e+02,0.000000000000000000e+00
1.749080613608545889e+02,0.000000000000000000e+00
1.757361956449859974e+02,0.000000000000000000e+00
1.765663746285850095e+02,0.000000000000000000e+00
1.773985437122814801e+02,0.000000000000000000e+00
1.782327009770204995e+02,0.000000000000000000e+00
1.790688057663964798e+02,0.000000000000000000e+00
1.799068177509097097e+02,0.000000000000000000e+00
1.807467365429185122e+02,0.000000000000000000e+00
1.815885094838517659e+02,0.000000000000000000e+00
1.824321371656863846e+02,0.000000000000000000e+00
1.832775809525713555e+02,0.000000000000000000e+00
1.841248025073680026e+02,0.000000000000000000e+00
1.849738038317333064e+02,0.000000000000000000e+00
1.858245340463082869e+02,0.000000000000000000e+00
1.866769960540065938e+02,0.000000000000000000e+00
1.875311530724462727e+02,0.000000000000000000e+00
1.883869685915867649e+02,0.000000000000000000e+00
1.892444468106736792e+02,0.000000000000000000e+00
1.901035384786938778e+02,0.000000000000000000e+00
1.909642486233676948e+02,0.000000000000000000e+00
1.918265421602760625e+02,0.000000000000000000e+00
1.926903842528466839e+02,0.000000000000000000e+00
1.935557811200875733e+02,0.000000000000000000e+00
1.944226849993201256e+02,0.000000000000000000e+00
1.952911028707123364e+02,0.000000000000000000e+00
1.961609875301224974e+02,0.000000000000000000e+00
1.970323466934399050e+02,0.000000000000000000e+00
1.979051474140290452e+02,0.000000000000000000e+00
1.987793569619377934e+02,0.000000000000000000e+00
1.996549841107476482e+02,0.000000000000000000e+00
2.005319829665381235e+02,0.000000000000000000e+00
2.014103629785967087e+02,0.000000000000000000e+00
2.022900925714402831e+02,0.000000000000000000e+00
2.031711403661703912e+02,0.000000000000000000e+00
2.040535167834620438e+02,0.000000000000000000e+00
2.049371771246568699e+02,0.000000000000000000e+00
2.058221324310101181e+02,0.000000000000000000e+00
2.067083523803215144e+02,0.000000000000000000e+00
2.075958068285838749e+02,0.000000000000000000e+00
2.084845077092453209e+02,0.000000000000000000e+00
2.093744114135870120e+02,0.000000000000000000e+00
2.102655304450979372e+02,0.000000000000000000e+00
2.111578356269178300e+02,0.000000000000000000e+00
2.120512979435949887e+02,0.000000000000000000e+00
2.129459307182602288e+02,0.000000000000000000e+00
2.138416913358595366e+02,0.000000000000000000e+00
2.147385936432958715e+02,0.000000000000000000e+00
2.156366095103837779e+02,0.000000000000000000e+00
2.165357109530616810e+02,0.000000000000000000e+00
2.174359125714925938e+02,0.000000000000000000e+00
2.183371726564398614e+02,0.000000000000000000e+00
2.192395062895250248e+02,0.000000000000000000e+00
2.201428721010086349e+02,0.000000000000000000e+00
2.210472856380833662e+02,0.000000000000000000e+00
2.219527200864217207e+02,0.000000000000000000e+00
2.228591487587328572e+02,0.000000000000000000e+00
2.237665878720073636e+02,0.000000000000000000e+00
2.246749968523032237e+02,0.000000000000000000e+00
2.255843923448893520e+02,0.000000000000000000e+00
2.264947483792000185e+02,0.000000000000000000e+00
2.274060390995762475e+02,0.000000000000000000e+00
2.283182817676213006e+02,0.000000000000000000e+00
2.292314365350351864e+02,0.000000000000000000e+00
2.301455210576419574e+02,4.654589143231042669e-01
2.310605101365977987e+02,4.794794891700392969e-01
2.319763786769699436e+02,4.935972667321540386e-01
2.328931449020966795e+02,5.077853004487538069e-01
2.338107696255270014e+02,5.221150280839164104e-01
2.347292714337221753e+02,5.363780437288020453e-01
2.356486258339828908e+02,5.506950052636582216e-01
2.365688084275606968e+02,5.649346458822914752e-01
2.374898383238555937e+02,5.790332941680893519e-01
2.384116769402845932e+02,5.929752911044247066e-01
2.393343437209765625e+02,6.066446256187524311e-01
2.402578148196975860e+02,6.200308885162731931e-01
2.411820664751482752e+02,6.331085079022898965e-01
2.421071186136937001e+02,6.457711314126312052e-01
2.430329332039343342e+02,6.579780080868504744e-01
2.439595304810349887e+02,6.696177894418524623e-01
2.448868726204122481e+02,6.806892251968018615e-01
2.458149801562992138e+02,6.910248290639556812e-01
2.467438300573921026e+02,7.005250503050675093e-01
2.476733993661195825e+02,7.090182774052113945e-01
