condition,scenarioNum,repair_score,trust_score,rightorwrong,Q11_1,Q11_2,Q11_3,response_quality,return_likelihood,moral_trust_score,performance_trust_score,reliable_score,competent_score,ethical_score,moral_score,transparent_score,benevolent_score,age,gender,frequency
nonsyco,uncomfortable,3.0,6.444444444444445,4.0,1.0,1.0,7.0,5.0,7.0,6.5,6.333333333333333,6.0,7.0,7.0,7.0,4.0,7.0,25.0,Female,A few times a month
syco,uncomfortable,6.333333333333333,6.6,4.0,6.0,6.0,7.0,6.0,7.0,6.5,6.75,7.0,6.5,6.5,7.0,6.0,6.5,25.0,Female,A few times a month
syco,exclusion,2.0,6.6,6.0,2.0,2.0,2.0,6.0,6.0,6.5,6.75,6.5,7.0,7.0,6.0,7.0,6.0,25.0,Male,A few times a week
syco,relationship,2.333333333333333,4.1,6.0,2.0,2.0,3.0,5.0,4.0,2.833333333333333,6.0,6.0,6.0,1.5,6.0,1.0,3.5,25.0,Male,Daily
syco,relationship,6.666666666666667,6.5,1.0,7.0,7.0,6.0,7.0,7.0,6.833333333333333,6.0,6.5,5.5,7.0,6.0,7.0,7.0,55.0,Female,A few times a week
nonsyco,uncomfortable,6.333333333333333,6.2,6.0,7.0,7.0,5.0,5.0,6.0,6.333333333333333,6.0,6.5,5.5,5.5,7.0,6.0,7.0,34.0,Male,A few times a week
syco,others,3.0,6.222222222222222,6.0,2.0,4.0,3.0,5.0,6.0,6.166666666666667,6.333333333333333,6.0,7.0,5.5,7.0,6.0,6.5,45.0,Female,A few times a month
nonsyco,others,6.333333333333333,2.7,2.0,6.0,6.0,7.0,5.0,1.0,2.1666666666666665,3.5,4.0,3.0,1.5,3.0,3.0,2.0,34.0,Female,Once every few months
nonsyco,uncomfortable,7.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,45.0,Female,A few times a month
nonsyco,exclusion,3.0,3.0,6.0,1.0,6.0,2.0,4.0,2.0,2.6666666666666665,3.5,3.5,3.5,3.0,4.0,1.0,2.5,18.0,Female,Daily
nonsyco,relationship,4.333333333333333,2.1,7.0,5.0,5.0,3.0,2.0,1.0,2.1666666666666665,2.0,2.5,1.5,3.0,3.0,1.0,1.5,34.0,Male,A few times a week
nonsyco,others,5.666666666666667,6.3,3.0,7.0,6.0,4.0,6.0,6.0,6.333333333333333,6.25,7.0,5.5,6.5,6.0,6.0,6.5,34.0,Female,A few times a week
nonsyco,others,4.0,2.7,5.0,3.0,5.0,4.0,4.0,1.0,2.5,3.0,4.0,2.0,2.5,4.0,1.0,2.5,55.0,Female,Once every few months
nonsyco,uncomfortable,3.6666666666666665,3.2,4.0,5.0,3.0,3.0,3.0,2.0,3.0,3.5,3.5,3.5,3.0,4.0,3.0,2.5,25.0,Female,A few times a week
nonsyco,exclusion,1.3333333333333333,5.2,6.0,1.0,2.0,1.0,5.0,5.0,6.0,4.0,4.0,4.0,6.5,5.0,5.0,6.5,65.0,Male,Once every few months
nonsyco,uncomfortable,3.6666666666666665,5.25,3.0,3.0,3.0,5.0,5.0,5.0,5.2,5.333333333333333,5.5,5.0,5.0,6.0,5.0,5.0,55.0,Female,A few times a month
nonsyco,relationship,6.333333333333333,6.1,3.0,6.0,6.0,7.0,6.0,6.0,6.0,6.25,6.5,6.0,6.5,7.0,5.0,5.5,34.0,Male,A few times a week
nonsyco,relationship,3.333333333333333,4.3,6.0,3.0,5.0,2.0,4.0,3.0,4.666666666666667,3.75,4.5,3.0,5.0,5.0,3.0,5.0,55.0,Male,A few times a week
syco,uncomfortable,5.0,4.7,3.0,5.0,5.0,5.0,5.0,5.0,4.666666666666667,4.75,5.0,4.5,4.0,5.0,5.0,5.0,45.0,Female,A few times a week
nonsyco,exclusion,2.6666666666666665,5.2,4.0,1.0,1.0,6.0,5.0,5.0,5.166666666666667,5.25,5.5,5.0,4.0,6.0,4.0,6.5,45.0,Female,A few times a week
syco,exclusion,3.333333333333333,4.4,5.0,2.0,3.0,5.0,6.0,5.0,4.0,5.0,4.5,5.5,3.5,5.0,4.0,4.0,25.0,Female,A few times a month
syco,relationship,1.0,1.2222222222222223,7.0,1.0,1.0,1.0,1.0,1.0,0.8,1.75,3.5,0.0,0.0,0.0,0.0,4.0,45.0,Female,A few times a month
nonsyco,uncomfortable,6.0,1.8,4.0,5.0,6.0,7.0,6.0,7.0,2.1666666666666665,1.25,1.5,1.0,2.5,4.0,1.0,1.5,55.0,Non-binary / third gender,Once every few months
syco,exclusion,1.0,4.2,7.0,1.0,1.0,1.0,3.0,3.0,4.166666666666667,4.25,5.0,3.5,4.0,4.0,4.0,4.5,45.0,Female,A few times a week
nonsyco,uncomfortable,1.0,4.5,7.0,1.0,1.0,1.0,1.0,1.0,3.8333333333333335,5.5,5.5,5.5,4.5,6.0,4.0,2.0,45.0,Male,A few times a month
syco,others,7.0,2.1,1.0,7.0,7.0,7.0,6.0,1.0,0.0,5.25,7.0,3.5,0.0,0.0,0.0,0.0,34.0,Female,A few times a month
syco,others,7.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,45.0,Female,Once every few months
syco,relationship,2.6666666666666665,4.714285714285714,4.0,2.0,2.0,4.0,5.0,5.0,4.666666666666667,4.75,4.0,5.5,4.0,4.0,,6.0,34.0,Female,A few times a week
syco,relationship,4.0,7.0,7.0,3.0,6.0,3.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,25.0,Female,A few times a month
syco,others,4.0,6.0,4.0,1.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,25.0,Female,A few times a week
syco,others,5.0,5.8,4.0,7.0,4.0,4.0,7.0,7.0,5.666666666666667,6.0,6.0,6.0,6.0,6.0,6.0,5.0,45.0,Female,A few times a month
syco,exclusion,4.666666666666667,6.6,6.0,6.0,7.0,1.0,4.0,4.0,6.833333333333333,6.25,6.0,6.5,6.5,7.0,7.0,7.0,25.0,Female,Daily
syco,others,5.0,5.5,4.0,5.0,5.0,5.0,5.0,5.0,5.333333333333333,5.75,5.5,6.0,5.0,5.0,5.0,6.0,34.0,Male,A few times a month
nonsyco,others,6.666666666666667,6.8,2.0,7.0,7.0,6.0,6.0,7.0,7.0,6.5,7.0,6.0,7.0,,7.0,7.0,45.0,Female,Daily
syco,relationship,3.333333333333333,5.7,6.0,2.0,5.0,3.0,5.0,5.0,5.5,6.0,7.0,5.0,5.5,7.0,4.0,5.5,55.0,Male,Daily
nonsyco,relationship,1.0,2.6666666666666665,7.0,1.0,1.0,1.0,2.0,1.0,0.0,4.0,7.0,1.0,0.0,,,,65.0,Male,A few times a week
nonsyco,others,5.333333333333333,5.9,4.0,6.0,5.0,5.0,7.0,6.0,6.0,5.75,6.0,5.5,4.5,7.0,6.0,7.0,25.0,Female,A few times a week
syco,others,5.333333333333333,5.0,5.0,6.0,6.0,4.0,6.0,7.0,4.4,6.0,6.0,6.0,4.0,5.0,4.0,4.5,45.0,Female,Once every few months
syco,uncomfortable,3.333333333333333,5.4,4.0,2.0,4.0,4.0,5.0,5.0,5.666666666666667,5.0,5.5,4.5,5.0,5.0,5.0,7.0,55.0,Female,A few times a week
syco,uncomfortable,3.6666666666666665,6.6,6.0,5.0,5.0,1.0,7.0,7.0,6.833333333333333,6.25,7.0,5.5,6.5,7.0,7.0,7.0,34.0,Female,A few times a month
nonsyco,others,4.0,7.0,3.0,5.0,1.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,34.0,Male,A few times a week
nonsyco,others,2.333333333333333,6.1,7.0,1.0,1.0,5.0,4.0,3.0,6.0,6.25,6.5,6.0,5.5,6.0,5.0,7.0,18.0,Female,A few times a week
syco,relationship,5.0,4.6,4.0,5.0,5.0,5.0,5.0,4.0,4.5,4.75,5.0,4.5,5.0,4.0,4.0,4.5,25.0,Male,Daily
nonsyco,others,4.333333333333333,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,18.0,Female,Daily
syco,uncomfortable,5.333333333333333,5.0,5.0,5.0,7.0,4.0,5.0,4.0,4.0,5.25,5.0,5.5,,4.0,,,34.0,Female,A few times a month
nonsyco,exclusion,7.0,6.25,1.0,7.0,7.0,7.0,6.0,5.0,6.0,6.5,6.5,6.5,5.0,,6.0,6.5,34.0,Female,Daily
syco,exclusion,2.0,3.9,6.0,2.0,2.0,2.0,4.0,3.0,2.833333333333333,5.5,5.5,5.5,1.5,5.0,1.0,4.0,34.0,Male,A few times a month
nonsyco,uncomfortable,4.0,5.0,5.0,1.0,5.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,45.0,Female,A few times a week
syco,relationship,5.666666666666667,5.7,5.0,5.0,6.0,6.0,5.0,4.0,6.0,5.25,5.5,5.0,5.0,7.0,6.0,6.5,45.0,Female,A few times a week
nonsyco,uncomfortable,1.6666666666666667,3.1,7.0,1.0,1.0,3.0,2.0,1.0,3.1666666666666665,3.0,4.0,2.0,2.5,3.0,4.0,3.5,18.0,Female,Daily
syco,exclusion,4.0,3.9,6.0,5.0,5.0,2.0,4.0,5.0,3.5,4.5,5.0,4.0,2.0,5.0,4.0,4.0,55.0,Female,Never
syco,relationship,6.333333333333333,6.3,3.0,6.0,6.0,7.0,6.0,5.0,6.166666666666667,6.5,6.5,6.5,5.5,6.0,6.0,7.0,34.0,Female,A few times a month
nonsyco,uncomfortable,7.0,7.0,4.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,34.0,Female,Daily
syco,others,2.333333333333333,2.2222222222222223,7.0,1.0,5.0,1.0,4.0,1.0,0.8,4.0,4.0,4.0,0.0,4.0,0.0,0.0,65.0,Male,Once every few months
nonsyco,uncomfortable,3.6666666666666665,3.1,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.25,3.5,3.0,2.5,3.0,3.0,3.5,34.0,Male,Never
syco,uncomfortable,2.6666666666666665,3.3,6.0,2.0,5.0,1.0,3.0,2.0,3.6666666666666665,2.75,2.5,3.0,3.5,3.0,4.0,4.0,25.0,Male,Daily
syco,uncomfortable,3.333333333333333,6.5,4.0,2.0,4.0,4.0,6.0,4.0,6.333333333333333,6.75,6.5,7.0,6.0,6.0,6.0,7.0,45.0,Female,A few times a month
nonsyco,others,7.0,6.7,2.0,7.0,7.0,7.0,7.0,7.0,7.0,6.25,7.0,5.5,7.0,7.0,7.0,7.0,25.0,Female,A few times a week
nonsyco,others,2.0,5.6,4.0,3.0,2.0,1.0,6.0,7.0,4.833333333333333,6.75,6.5,7.0,5.0,4.0,5.0,5.0,45.0,Female,A few times a week
nonsyco,others,6.333333333333333,5.0,5.0,7.0,5.0,7.0,5.0,5.0,5.2,4.666666666666667,4.5,5.0,2.0,6.0,6.0,6.0,45.0,Female,Once every few months
syco,relationship,3.333333333333333,5.3,5.0,6.0,2.0,2.0,6.0,5.0,5.5,5.0,6.5,3.5,5.0,7.0,3.0,6.5,34.0,Male,A few times a week
nonsyco,exclusion,7.0,5.1,3.0,7.0,7.0,7.0,5.0,5.0,4.833333333333333,5.5,6.0,5.0,4.5,5.0,5.0,5.0,25.0,Female,Once every few months
syco,exclusion,1.0,6.714285714285714,7.0,1.0,1.0,1.0,6.0,7.0,6.75,6.666666666666667,7.0,6.5,7.0,7.0,7.0,6.0,25.0,Female,Daily
nonsyco,exclusion,6.0,4.4,3.0,6.0,6.0,6.0,4.0,3.0,4.5,4.25,4.5,4.0,4.5,5.0,4.0,4.5,25.0,Female,Once every few months
syco,exclusion,3.333333333333333,5.5,7.0,4.0,5.0,1.0,7.0,7.0,5.0,6.25,7.0,5.5,4.0,4.0,4.0,7.0,65.0,Female,A few times a month
nonsyco,relationship,4.0,5.9,4.0,3.0,5.0,4.0,6.0,6.0,5.833333333333333,6.0,6.0,6.0,6.0,4.0,6.0,6.5,55.0,Male,A few times a month
nonsyco,relationship,5.666666666666667,5.4,6.0,4.0,7.0,6.0,7.0,7.0,4.666666666666667,6.5,6.5,6.5,4.5,4.0,6.0,4.5,25.0,Male,Daily
nonsyco,others,6.333333333333333,5.0,3.0,6.0,6.0,7.0,6.0,7.0,4.666666666666667,5.5,5.5,5.5,5.0,4.0,6.0,4.0,25.0,Male,A few times a week
syco,relationship,6.333333333333333,6.3,2.0,7.0,6.0,6.0,6.0,7.0,6.5,6.0,5.0,7.0,6.5,6.0,6.0,7.0,34.0,Male,A few times a week
nonsyco,exclusion,6.333333333333333,4.6,2.0,7.0,7.0,5.0,7.0,7.0,3.0,7.0,7.0,7.0,0.5,7.0,4.0,3.0,45.0,Male,A few times a week
syco,relationship,4.0,6.5,6.0,4.0,3.0,5.0,7.0,7.0,6.666666666666667,6.25,6.5,6.0,6.5,6.0,7.0,7.0,25.0,Female,A few times a month
syco,uncomfortable,1.0,4.0,7.0,1.0,1.0,1.0,6.0,5.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,25.0,Female,A few times a month
syco,uncomfortable,2.0,7.0,7.0,1.0,1.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,65.0,Female,Daily
syco,relationship,6.0,5.3,2.0,6.0,6.0,6.0,4.0,4.0,5.0,5.75,6.0,5.5,4.5,4.0,5.0,6.0,25.0,Female,A few times a month
nonsyco,others,4.666666666666667,4.222222222222222,3.0,4.0,4.0,6.0,2.0,1.0,4.0,4.5,5.0,4.0,4.5,,2.0,4.5,18.0,Male,A few times a week
syco,exclusion,6.666666666666667,7.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,34.0,Male,Daily
nonsyco,uncomfortable,5.0,6.8,4.0,6.0,7.0,2.0,7.0,7.0,6.666666666666667,7.0,7.0,7.0,7.0,7.0,6.0,6.5,25.0,Female,Daily
nonsyco,relationship,6.666666666666667,6.5,3.0,7.0,7.0,6.0,6.0,6.0,6.666666666666667,6.25,6.0,6.5,6.5,7.0,7.0,6.5,34.0,Male,A few times a month
nonsyco,others,2.6666666666666665,2.1,6.0,1.0,2.0,5.0,4.0,1.0,2.1666666666666665,2.0,1.5,2.5,1.0,4.0,2.0,2.5,25.0,Female,A few times a month
syco,exclusion,4.333333333333333,3.3,3.0,5.0,4.0,4.0,4.0,1.0,2.6666666666666665,4.25,5.0,3.5,3.0,4.0,2.0,2.0,18.0,Male,Never
syco,relationship,2.333333333333333,7.0,7.0,2.0,4.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,34.0,Female,A few times a week
nonsyco,uncomfortable,6.0,6.6,6.0,6.0,6.0,6.0,6.0,6.0,6.666666666666667,6.5,6.5,6.5,6.5,7.0,6.0,7.0,25.0,Female,A few times a week
syco,exclusion,1.0,6.111111111111111,6.0,1.0,1.0,1.0,5.0,5.0,6.4,5.75,6.0,5.5,6.5,,6.0,6.5,45.0,Male,Once every few months
nonsyco,exclusion,2.6666666666666665,5.0,6.0,2.0,2.0,4.0,5.0,4.0,,5.0,6.0,4.0,,,,,55.0,Female,A few times a week
nonsyco,relationship,6.666666666666667,7.0,3.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,45.0,Female,Never
syco,exclusion,3.333333333333333,7.0,5.0,3.0,5.0,2.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,55.0,Female,Daily
nonsyco,relationship,6.666666666666667,5.1,4.0,6.0,7.0,7.0,6.0,6.0,4.5,6.0,5.5,6.5,4.0,4.0,4.0,5.5,34.0,Male,A few times a week
syco,exclusion,5.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,55.0,Male,Once every few months
syco,exclusion,7.0,6.6,3.0,7.0,7.0,7.0,7.0,6.0,6.333333333333333,7.0,7.0,,6.0,6.0,,7.0,25.0,Female,Once every few months
syco,others,1.3333333333333333,6.1,7.0,1.0,2.0,1.0,7.0,7.0,6.0,6.25,6.5,6.0,6.0,6.0,6.0,6.0,34.0,Male,A few times a month
syco,uncomfortable,3.0,4.2,5.0,1.0,4.0,4.0,5.0,4.0,4.666666666666667,3.5,4.5,2.5,4.0,4.0,5.0,5.5,25.0,Male,A few times a month
nonsyco,uncomfortable,2.333333333333333,0.0,5.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,Male,Once every few months
nonsyco,relationship,6.666666666666667,6.3,1.0,7.0,7.0,6.0,5.0,5.0,6.5,6.0,6.5,5.5,7.0,7.0,6.0,6.0,25.0,Male,Daily
syco,relationship,6.0,6.1,2.0,5.0,6.0,7.0,5.0,5.0,6.333333333333333,5.75,7.0,4.5,6.0,7.0,6.0,6.5,18.0,Female,Daily
nonsyco,relationship,6.0,6.888888888888889,6.0,6.0,6.0,6.0,7.0,7.0,7.0,6.75,7.0,6.5,7.0,7.0,7.0,7.0,45.0,Female,A few times a week
nonsyco,uncomfortable,5.333333333333333,5.2,3.0,5.0,6.0,5.0,5.0,5.0,5.0,5.5,6.0,5.0,5.0,7.0,4.0,4.5,18.0,Female,A few times a month
syco,others,7.0,3.1,5.0,7.0,7.0,7.0,7.0,7.0,1.1666666666666667,6.0,5.0,7.0,0.0,1.0,0.0,3.0,55.0,Male,Daily
syco,others,5.333333333333333,6.5,6.0,5.0,6.0,5.0,5.0,6.0,6.666666666666667,6.25,6.5,6.0,6.5,6.0,7.0,7.0,34.0,Female,A few times a week
syco,relationship,6.0,6.4,6.0,7.0,7.0,4.0,7.0,6.0,6.666666666666667,6.0,7.0,5.0,7.0,7.0,7.0,6.0,18.0,Female,A few times a week
nonsyco,uncomfortable,5.333333333333333,4.4,3.0,5.0,5.0,6.0,5.0,5.0,4.333333333333333,4.5,5.0,4.0,4.0,4.0,4.0,5.0,45.0,Female,Once every few months
nonsyco,uncomfortable,5.0,5.5,7.0,4.0,5.0,6.0,7.0,6.0,5.75,5.25,5.0,5.5,6.0,5.0,,6.0,45.0,Male,Daily
nonsyco,exclusion,1.6666666666666667,3.7,7.0,2.0,2.0,1.0,3.0,2.0,4.166666666666667,3.0,3.5,2.5,3.5,4.0,4.0,5.0,34.0,Male,A few times a month
syco,exclusion,3.0,5.9,5.0,2.0,4.0,3.0,7.0,7.0,5.5,6.5,7.0,6.0,4.5,6.0,6.0,6.0,25.0,Female,A few times a week
syco,exclusion,4.333333333333333,3.5,4.0,4.0,5.0,4.0,5.0,5.0,2.5,5.0,5.0,5.0,2.5,5.0,5.0,0.0,55.0,Male,A few times a week
syco,uncomfortable,6.333333333333333,6.9,5.0,7.0,7.0,5.0,7.0,7.0,7.0,6.75,7.0,6.5,7.0,7.0,7.0,7.0,65.0,Female,Daily
syco,exclusion,5.333333333333333,5.8,6.0,5.0,7.0,4.0,6.0,6.0,5.5,6.25,6.5,6.0,5.5,6.0,4.0,6.0,34.0,Female,A few times a month
syco,exclusion,3.0,4.5,4.0,3.0,3.0,3.0,3.0,1.0,,4.5,5.0,4.0,,,,,55.0,Female,A few times a month
nonsyco,exclusion,5.0,4.6,4.0,5.0,4.0,6.0,4.0,3.0,4.333333333333333,5.0,5.5,4.5,4.5,5.0,6.0,3.0,65.0,Female,A few times a week
syco,relationship,6.0,3.6666666666666665,7.0,5.0,6.0,7.0,4.0,1.0,2.8,4.75,5.5,4.0,1.0,4.0,1.0,4.0,25.0,Male,A few times a week
nonsyco,relationship,7.0,7.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,18.0,Female,Daily
nonsyco,exclusion,6.0,2.9,4.0,6.0,6.0,6.0,4.0,4.0,1.5,5.0,5.0,5.0,0.0,5.0,0.0,2.0,34.0,Male,Daily
nonsyco,relationship,2.6666666666666665,3.2,7.0,1.0,1.0,6.0,3.0,1.0,2.6666666666666665,4.0,4.0,4.0,2.0,7.0,5.0,0.0,25.0,Female,Daily
syco,uncomfortable,4.0,7.0,6.0,4.0,6.0,2.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,25.0,Female,A few times a month
nonsyco,exclusion,6.333333333333333,6.5,3.0,5.0,7.0,7.0,6.0,7.0,6.75,6.25,6.0,6.5,,7.0,6.0,7.0,34.0,Female,Daily
nonsyco,others,5.666666666666667,6.3,3.0,6.0,7.0,4.0,6.0,7.0,6.333333333333333,6.25,6.0,6.5,6.0,6.0,7.0,6.5,34.0,Male,A few times a week
nonsyco,exclusion,5.0,2.9,4.0,5.0,5.0,5.0,3.0,2.0,2.1666666666666665,4.0,4.0,4.0,2.0,4.0,2.0,1.5,18.0,Prefer not to say,A few times a week
syco,relationship,4.666666666666667,5.5,4.0,3.0,5.0,6.0,6.0,6.0,5.666666666666667,5.25,5.5,5.0,4.5,6.0,6.0,6.5,55.0,Female,A few times a week
syco,exclusion,5.666666666666667,1.6,2.0,5.0,5.0,7.0,2.0,1.0,0.6666666666666666,3.0,3.5,2.5,0.0,0.0,0.0,2.0,25.0,Female,Once every few months
syco,relationship,1.3333333333333333,6.5,7.0,1.0,1.0,2.0,6.0,6.0,6.333333333333333,6.75,6.5,7.0,6.5,4.0,7.0,7.0,34.0,Male,A few times a week
syco,uncomfortable,2.6666666666666665,6.8,7.0,1.0,6.0,1.0,7.0,7.0,6.833333333333333,6.75,7.0,6.5,6.5,7.0,7.0,7.0,34.0,Female,A few times a week
syco,exclusion,1.0,6.3,7.0,1.0,1.0,1.0,5.0,6.0,6.333333333333333,6.25,7.0,5.5,7.0,7.0,4.0,6.5,25.0,Female,A few times a week
nonsyco,others,1.0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,Non-binary / third gender,Never
syco,others,5.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,4.5,5.75,6.5,5.0,4.5,4.0,4.0,5.0,34.0,Female,Once every few months
nonsyco,relationship,3.0,4.9,4.0,5.0,3.0,1.0,6.0,4.0,4.0,6.25,6.5,6.0,3.0,6.0,5.0,3.5,34.0,Female,A few times a month
nonsyco,uncomfortable,6.0,7.0,3.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,18.0,Male,Daily
syco,exclusion,2.0,7.0,7.0,2.0,3.0,1.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,25.0,Male,Never
syco,exclusion,3.333333333333333,4.5,5.0,4.0,4.0,2.0,5.0,5.0,4.5,4.5,5.5,3.5,,3.0,4.0,5.5,45.0,Female,Daily
nonsyco,uncomfortable,1.6666666666666667,2.8,7.0,3.0,1.0,1.0,3.0,1.0,2.0,4.0,4.5,3.5,3.0,3.0,0.0,1.5,25.0,Male,A few times a week
syco,others,5.666666666666667,6.0,6.0,5.0,6.0,6.0,6.0,7.0,5.666666666666667,6.5,6.5,6.5,5.5,5.0,6.0,6.0,34.0,Male,A few times a week
nonsyco,uncomfortable,4.666666666666667,6.6,6.0,5.0,3.0,6.0,6.0,6.0,6.5,6.75,6.5,7.0,6.5,7.0,6.0,6.5,45.0,Female,Once every few months
nonsyco,exclusion,3.6666666666666665,7.0,6.0,1.0,6.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,65.0,Female,A few times a week
nonsyco,relationship,6.333333333333333,6.5,3.0,6.0,6.0,7.0,6.0,7.0,6.666666666666667,6.25,6.0,6.5,7.0,7.0,6.0,6.5,34.0,Female,A few times a week
nonsyco,uncomfortable,2.0,4.6,5.0,2.0,2.0,2.0,5.0,3.0,4.5,4.75,5.5,4.0,4.0,4.0,4.0,5.5,25.0,Non-binary / third gender,A few times a week
syco,exclusion,2.6666666666666665,6.6,6.0,2.0,4.0,2.0,7.0,6.0,6.666666666666667,6.5,6.5,6.5,6.0,7.0,7.0,7.0,25.0,Male,A few times a month
syco,uncomfortable,3.333333333333333,6.3,6.0,2.0,3.0,5.0,6.0,7.0,6.333333333333333,6.25,6.0,6.5,6.0,6.0,6.0,7.0,18.0,Female,Daily
syco,others,6.0,4.6,3.0,6.0,6.0,6.0,5.0,4.0,4.666666666666667,4.5,5.0,4.0,4.5,5.0,4.0,5.0,34.0,Female,A few times a month
nonsyco,exclusion,7.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,45.0,Male,Once every few months
syco,relationship,3.6666666666666665,6.7,6.0,3.0,4.0,4.0,5.0,5.0,7.0,6.25,6.0,6.5,7.0,7.0,7.0,7.0,45.0,Female,A few times a week
syco,relationship,1.6666666666666667,7.0,7.0,2.0,2.0,1.0,7.0,6.0,7.0,7.0,7.0,7.0,,,7.0,,65.0,Female,A few times a week
syco,uncomfortable,3.6666666666666665,5.625,5.0,3.0,3.0,5.0,7.0,7.0,5.666666666666667,5.5,5.0,6.0,4.5,6.0,7.0,6.0,34.0,Female,A few times a week
nonsyco,others,7.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,45.0,Female,Daily
nonsyco,relationship,3.0,5.5,5.0,3.0,4.0,2.0,6.0,6.0,5.333333333333333,5.75,5.5,6.0,4.5,6.0,6.0,5.5,25.0,Male,Once every few months
syco,exclusion,3.333333333333333,5.5,5.0,3.0,4.0,3.0,6.0,5.0,5.5,5.5,5.0,6.0,5.0,5.0,6.0,6.0,45.0,Female,A few times a month
nonsyco,others,6.666666666666667,5.625,2.0,7.0,6.0,7.0,7.0,7.0,5.25,6.0,6.5,5.5,,7.0,3.0,5.5,55.0,Female,Once every few months
nonsyco,uncomfortable,3.6666666666666665,4.4,5.0,3.0,3.0,5.0,3.0,2.0,5.166666666666667,3.25,4.0,2.5,5.0,5.0,5.0,5.5,34.0,Male,A few times a week
nonsyco,exclusion,1.0,5.2,7.0,1.0,1.0,1.0,5.0,4.0,5.333333333333333,5.0,5.0,5.0,5.0,4.0,5.0,6.5,55.0,Male,A few times a week
syco,uncomfortable,4.0,4.4,6.0,3.0,5.0,4.0,4.0,2.0,4.5,4.25,4.0,4.5,4.0,4.0,4.0,5.5,45.0,Male,A few times a month
nonsyco,relationship,3.333333333333333,4.5,4.0,3.0,3.0,4.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5,4.0,4.0,5.0,25.0,Male,A few times a week
nonsyco,others,5.333333333333333,6.0,2.0,6.0,5.0,5.0,6.0,7.0,5.833333333333333,6.25,6.5,6.0,5.5,6.0,5.0,6.5,34.0,Male,A few times a week
syco,uncomfortable,4.666666666666667,6.8,5.0,4.0,4.0,6.0,6.0,7.0,7.0,6.5,7.0,6.0,7.0,7.0,7.0,7.0,25.0,Female,A few times a week
nonsyco,others,4.333333333333333,4.8,6.0,2.0,5.0,6.0,6.0,5.0,4.666666666666667,5.0,5.0,5.0,4.0,4.0,5.0,5.5,34.0,Male,A few times a week
syco,others,6.0,4.111111111111111,2.0,7.0,6.0,5.0,6.0,7.0,3.5,5.333333333333333,4.5,7.0,4.0,1.0,4.0,4.0,45.0,Female,Once every few months
nonsyco,exclusion,6.333333333333333,7.0,4.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,25.0,Female,Daily
syco,exclusion,5.0,5.0,6.0,6.0,5.0,4.0,7.0,7.0,4.666666666666667,5.5,6.5,4.5,4.5,4.0,5.0,5.0,45.0,Male,Daily
